epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.777,1.95446,2.086,1.97119,0.63958,0.52174,0.56538,0.2426,1.86757,1.74483,1.95657,0.0670721,0.000332606,0.000332606
2,214.169,1.59751,1.5655,1.69418,0.75729,0.64022,0.74967,0.40303,1.5934,1.40889,1.61533,0.0340655,0.000659346,0.000659346
3,317.999,1.48697,1.37903,1.58153,0.82493,0.725,0.81059,0.4759,1.40743,1.08926,1.49542,0.00105227,0.000979487,0.000979487
4,423.36,1.43281,1.26996,1.54828,0.84267,0.71413,0.8276,0.47621,1.48931,0.97853,1.50525,0.0009703,0.0009703,0.0009703
5,525.099,1.37611,1.19889,1.51461,0.84091,0.77174,0.86632,0.51556,1.41153,0.97165,1.44302,0.0009604,0.0009604,0.0009604
6,623.606,1.35695,1.15281,1.48358,0.88271,0.75,0.87393,0.5677,1.24799,0.8333,1.34129,0.0009505,0.0009505,0.0009505
7,720.459,1.32961,1.10159,1.45656,0.87651,0.80652,0.89895,0.57721,1.26487,0.79999,1.34277,0.0009406,0.0009406,0.0009406
8,819.379,1.30048,1.0591,1.43886,0.88396,0.82717,0.91004,0.602,1.19737,0.76959,1.28049,0.0009307,0.0009307,0.0009307
9,918.264,1.28176,1.0256,1.41955,0.8816,0.83359,0.9045,0.55783,1.33811,0.7662,1.3652,0.0009208,0.0009208,0.0009208
10,1015.86,1.2644,0.99455,1.40542,0.85996,0.81196,0.8971,0.57867,1.24349,0.7946,1.31995,0.0009109,0.0009109,0.0009109
11,1113.98,1.22461,0.95406,1.39698,0.88561,0.84156,0.91584,0.58095,1.2891,0.71689,1.35007,0.000901,0.000901,0.000901
12,1215.98,1.22478,0.95906,1.394,0.89649,0.85543,0.92178,0.66419,0.98885,0.62918,1.16668,0.0008911,0.0008911,0.0008911
13,1317.1,1.20137,0.91552,1.36871,0.90037,0.8663,0.92919,0.68553,0.94136,0.60507,1.14532,0.0008812,0.0008812,0.0008812
14,1417.8,1.18069,0.89086,1.35205,0.89739,0.87458,0.93882,0.67168,0.99735,0.59099,1.17515,0.0008713,0.0008713,0.0008713
15,1516.62,1.16135,0.86578,1.33905,0.89727,0.88288,0.93671,0.66428,1.02556,0.61604,1.17189,0.0008614,0.0008614,0.0008614
16,1618.87,1.14858,0.86778,1.32877,0.92696,0.86903,0.94234,0.68454,0.948,0.56855,1.12802,0.0008515,0.0008515,0.0008515
17,1717.68,1.13162,0.83506,1.31421,0.90882,0.87759,0.94105,0.66306,1.02686,0.59209,1.16994,0.0008416,0.0008416,0.0008416
18,1816.43,1.12809,0.82849,1.3144,0.89807,0.89061,0.95058,0.70864,0.87887,0.53617,1.08679,0.0008317,0.0008317,0.0008317
19,1915.35,1.12049,0.81227,1.3036,0.88369,0.91669,0.94988,0.69416,0.94435,0.55831,1.13008,0.0008218,0.0008218,0.0008218
20,2020.35,1.09598,0.79516,1.28762,0.89732,0.8929,0.9469,0.69155,0.94715,0.55377,1.12897,0.0008119,0.0008119,0.0008119
21,2124.46,1.08921,0.77717,1.2823,0.91607,0.9,0.95507,0.71016,0.90378,0.52709,1.08467,0.000802,0.000802,0.000802
22,2228.68,1.08893,0.77977,1.28717,0.9021,0.90147,0.9557,0.69154,1.01937,0.54814,1.1589,0.0007921,0.0007921,0.0007921
23,2331.42,1.08092,0.78917,1.28352,0.88332,0.92159,0.95611,0.69775,0.94618,0.55304,1.11697,0.0007822,0.0007822,0.0007822
24,2433.58,1.09083,0.77415,1.27993,0.91496,0.91087,0.96395,0.6846,1.02164,0.53625,1.1731,0.0007723,0.0007723,0.0007723
25,2536.6,1.05804,0.74992,1.2672,0.91488,0.91123,0.96063,0.70653,0.91246,0.51162,1.10592,0.0007624,0.0007624,0.0007624
26,2636.71,1.05626,0.74442,1.25945,0.90986,0.92158,0.96243,0.72829,0.86729,0.47839,1.06928,0.0007525,0.0007525,0.0007525
27,2744.3,1.05426,0.74799,1.26773,0.91125,0.92629,0.96305,0.71817,0.92408,0.48533,1.10638,0.0007426,0.0007426,0.0007426
28,2844.15,1.05259,0.74085,1.26419,0.8959,0.92283,0.9609,0.71441,0.92203,0.4951,1.10856,0.0007327,0.0007327,0.0007327
29,2940.57,1.03723,0.71808,1.25252,0.89355,0.94893,0.96585,0.71825,0.90354,0.49066,1.09394,0.0007228,0.0007228,0.0007228
30,3039.81,1.03147,0.71039,1.24154,0.91772,0.93043,0.96336,0.73697,0.84357,0.46397,1.06356,0.0007129,0.0007129,0.0007129
31,3140.91,1.02835,0.70297,1.23937,0.92393,0.925,0.95979,0.71338,0.91629,0.47766,1.0965,0.000703,0.000703,0.000703
32,3240.51,1.03058,0.7074,1.23936,0.89979,0.94783,0.96455,0.73342,0.87409,0.48479,1.06735,0.0006931,0.0006931,0.0006931
33,3341.9,1.00838,0.68352,1.23208,0.90868,0.93012,0.96153,0.73679,0.85704,0.49526,1.05968,0.0006832,0.0006832,0.0006832
34,3441.13,1.00843,0.68482,1.22532,0.89026,0.94565,0.95903,0.72154,0.91842,0.46829,1.09469,0.0006733,0.0006733,0.0006733
35,3543.37,1.00642,0.68878,1.22559,0.90962,0.94457,0.96798,0.74398,0.84938,0.46263,1.05201,0.0006634,0.0006634,0.0006634
36,3646.66,1.00073,0.66882,1.21816,0.92551,0.93189,0.96925,0.73703,0.84838,0.44759,1.04799,0.0006535,0.0006535,0.0006535
37,3749.96,0.99145,0.66525,1.21425,0.91295,0.94614,0.96879,0.72683,0.90627,0.46004,1.0726,0.0006436,0.0006436,0.0006436
38,3853.8,0.98877,0.66651,1.21076,0.90983,0.94022,0.96799,0.75288,0.81344,0.45236,1.03074,0.0006337,0.0006337,0.0006337
39,3958.39,0.98166,0.64793,1.20564,0.92477,0.94869,0.97122,0.74625,0.82927,0.43721,1.04295,0.0006238,0.0006238,0.0006238
40,4062.26,0.97926,0.64393,1.20278,0.9152,0.9385,0.96282,0.72942,0.86174,0.46038,1.05164,0.0006139,0.0006139,0.0006139
41,4162.52,0.97386,0.64526,1.20331,0.91728,0.95543,0.97005,0.7539,0.81777,0.42533,1.03894,0.000604,0.000604,0.000604
42,4265.06,0.97528,0.64897,1.20504,0.9252,0.94112,0.96433,0.73269,0.86133,0.44209,1.0505,0.0005941,0.0005941,0.0005941
43,4368.27,0.95482,0.62387,1.18874,0.92395,0.95543,0.97426,0.75488,0.83887,0.4156,1.04027,0.0005842,0.0005842,0.0005842
44,4472.01,0.9625,0.62807,1.19667,0.92217,0.95303,0.97267,0.75583,0.823,0.42124,1.04268,0.0005743,0.0005743,0.0005743
45,4574.96,0.95907,0.62755,1.19196,0.91041,0.96097,0.97107,0.75186,0.83639,0.43507,1.04157,0.0005644,0.0005644,0.0005644
46,4672.67,0.95416,0.63003,1.18907,0.92768,0.95217,0.97168,0.76156,0.80482,0.42566,1.02465,0.0005545,0.0005545,0.0005545
47,4777.17,0.95809,0.62128,1.19198,0.93165,0.94348,0.97398,0.76368,0.79042,0.41526,1.02136,0.0005446,0.0005446,0.0005446
48,4879.83,0.94951,0.61282,1.18925,0.92056,0.94464,0.97092,0.74795,0.84819,0.43176,1.0482,0.0005347,0.0005347,0.0005347
49,4984.55,0.9441,0.61411,1.17781,0.91736,0.9532,0.97211,0.75033,0.83082,0.43453,1.03928,0.0005248,0.0005248,0.0005248
50,5088.27,0.94063,0.60556,1.1767,0.93072,0.94916,0.96981,0.74992,0.85295,0.4165,1.07356,0.0005149,0.0005149,0.0005149
51,5192.78,0.94159,0.61282,1.17873,0.91853,0.95589,0.9732,0.75538,0.81639,0.43159,1.03523,0.000505,0.000505,0.000505
52,5293.77,0.93599,0.60051,1.17641,0.92857,0.94671,0.973,0.75199,0.83518,0.4179,1.03034,0.0004951,0.0004951,0.0004951
53,5393.41,0.92387,0.5924,1.16492,0.9258,0.94931,0.97207,0.76216,0.81021,0.40656,1.02598,0.0004852,0.0004852,0.0004852
54,5492.07,0.92765,0.59132,1.17414,0.93139,0.94457,0.9734,0.76662,0.79097,0.41317,1.02138,0.0004753,0.0004753,0.0004753
55,5589.21,0.93493,0.59904,1.16279,0.92632,0.95326,0.97386,0.77091,0.77812,0.41716,1.01732,0.0004654,0.0004654,0.0004654
56,5693.66,0.91812,0.58121,1.16345,0.93384,0.94565,0.97174,0.7653,0.78168,0.40859,1.01039,0.0004555,0.0004555,0.0004555
57,5795.45,0.91656,0.58119,1.16618,0.92745,0.96087,0.97304,0.76914,0.77496,0.39808,1.01486,0.0004456,0.0004456,0.0004456
58,5898.42,0.91798,0.58222,1.15932,0.93167,0.94855,0.97138,0.76463,0.79089,0.40275,1.02129,0.0004357,0.0004357,0.0004357
59,6001.17,0.91268,0.57271,1.14811,0.91866,0.96087,0.97463,0.77317,0.76629,0.39659,1.0083,0.0004258,0.0004258,0.0004258
60,6106.48,0.9119,0.5669,1.14636,0.93932,0.95902,0.97666,0.77009,0.78207,0.3869,1.01271,0.0004159,0.0004159,0.0004159
61,6212.94,0.90499,0.57002,1.15591,0.9387,0.94565,0.97398,0.77328,0.7683,0.39198,1.01655,0.000406,0.000406,0.000406
62,6314.29,0.89821,0.56601,1.15136,0.93434,0.9413,0.96938,0.7713,0.76565,0.39676,1.01802,0.0003961,0.0003961,0.0003961
63,6416.76,0.90599,0.56527,1.15241,0.93831,0.93587,0.97208,0.76556,0.78147,0.39998,1.0249,0.0003862,0.0003862,0.0003862
64,6524.94,0.8905,0.56398,1.14678,0.94113,0.95578,0.97646,0.76874,0.78025,0.38372,1.02123,0.0003763,0.0003763,0.0003763
65,6633.08,0.89194,0.55756,1.14358,0.92611,0.9587,0.97542,0.77322,0.77199,0.38472,1.00914,0.0003664,0.0003664,0.0003664
66,6738.79,0.88578,0.55869,1.13959,0.93783,0.95098,0.97775,0.76863,0.78289,0.38364,1.01495,0.0003565,0.0003565,0.0003565
67,6844.74,0.88176,0.54821,1.13476,0.94692,0.95543,0.97759,0.78213,0.73578,0.37185,0.9907,0.0003466,0.0003466,0.0003466
68,6943.12,0.88828,0.55162,1.14473,0.93019,0.95582,0.9763,0.77791,0.7626,0.37701,1.00019,0.0003367,0.0003367,0.0003367
69,7042.63,0.88136,0.54628,1.13387,0.93448,0.96122,0.97768,0.77889,0.76246,0.37215,1.00199,0.0003268,0.0003268,0.0003268
70,7141.89,0.88139,0.54293,1.13392,0.94226,0.94565,0.97763,0.77323,0.77492,0.3828,1.0103,0.0003169,0.0003169,0.0003169
71,7240.68,0.87784,0.54083,1.13622,0.93758,0.95978,0.97867,0.7814,0.756,0.37112,0.99943,0.000307,0.000307,0.000307
72,7342.44,0.87464,0.53837,1.13134,0.93848,0.96168,0.97837,0.77794,0.76793,0.37212,1.00372,0.0002971,0.0002971,0.0002971
73,7440.46,0.85712,0.53194,1.12567,0.93803,0.9542,0.9761,0.77679,0.75546,0.37322,1.00405,0.0002872,0.0002872,0.0002872
74,7539.48,0.86413,0.53528,1.12892,0.9314,0.95925,0.97629,0.78095,0.75626,0.37131,1.00586,0.0002773,0.0002773,0.0002773
75,7638.85,0.85585,0.52976,1.1251,0.93983,0.95072,0.97609,0.77512,0.77462,0.37593,1.00475,0.0002674,0.0002674,0.0002674
76,7734.26,0.85688,0.51995,1.12276,0.94634,0.95435,0.97778,0.78143,0.7543,0.37372,0.9947,0.0002575,0.0002575,0.0002575
77,7830.4,0.86144,0.52736,1.12756,0.94366,0.95652,0.97907,0.78835,0.73599,0.36716,0.98772,0.0002476,0.0002476,0.0002476
78,7929.1,0.84854,0.52395,1.12286,0.94404,0.95435,0.97736,0.78346,0.7516,0.37043,0.99103,0.0002377,0.0002377,0.0002377
79,8029.5,0.85798,0.5281,1.12941,0.93366,0.95326,0.97756,0.78788,0.72847,0.36383,0.98163,0.0002278,0.0002278,0.0002278
80,8130.16,0.84911,0.52015,1.11902,0.94613,0.94891,0.97613,0.78535,0.74203,0.36832,0.99019,0.0002179,0.0002179,0.0002179
81,8228.18,0.8473,0.51603,1.11278,0.93146,0.9587,0.9781,0.7858,0.73855,0.36482,0.98672,0.000208,0.000208,0.000208
82,8329.61,0.84719,0.52201,1.11926,0.94543,0.94674,0.97961,0.79061,0.73386,0.36757,0.98167,0.0001981,0.0001981,0.0001981
83,8428.85,0.83779,0.51122,1.11417,0.93584,0.95133,0.97821,0.78634,0.73581,0.36875,0.98503,0.0001882,0.0001882,0.0001882
84,8531.63,0.8287,0.50672,1.10503,0.94458,0.95217,0.97867,0.78876,0.73362,0.35985,0.98417,0.0001783,0.0001783,0.0001783
85,8633.29,0.82913,0.50987,1.10946,0.94635,0.95,0.97888,0.79082,0.72526,0.35824,0.98108,0.0001684,0.0001684,0.0001684
86,8736.51,0.84528,0.51686,1.11346,0.93194,0.96745,0.97982,0.79,0.72823,0.36116,0.98262,0.0001585,0.0001585,0.0001585
87,8840.05,0.82978,0.50561,1.11151,0.93636,0.95963,0.97891,0.79063,0.72401,0.35708,0.97819,0.0001486,0.0001486,0.0001486
88,8948.23,0.82876,0.50136,1.1044,0.94066,0.96087,0.9783,0.7905,0.72894,0.35869,0.98896,0.0001387,0.0001387,0.0001387
89,9055.4,0.81924,0.50075,1.1004,0.9475,0.95109,0.97946,0.79231,0.7307,0.35435,0.9866,0.0001288,0.0001288,0.0001288
90,9161.58,0.8307,0.49538,1.10088,0.93675,0.96582,0.97947,0.78889,0.74125,0.36008,0.99168,0.0001189,0.0001189,0.0001189
91,9269.72,0.79547,0.40021,1.07101,0.94693,0.9413,0.97607,0.78236,0.7376,0.36527,0.98754,0.000109,0.000109,0.000109
92,9376.44,0.77017,0.38277,1.06344,0.94844,0.94565,0.97689,0.78959,0.72906,0.36369,0.97812,9.91e-05,9.91e-05,9.91e-05
93,9487.39,0.76221,0.37872,1.06001,0.94596,0.95138,0.97663,0.79054,0.72407,0.36047,0.97485,8.92e-05,8.92e-05,8.92e-05
94,9589.29,0.77233,0.38559,1.05948,0.93613,0.95761,0.97679,0.7882,0.71717,0.36175,0.97739,7.93e-05,7.93e-05,7.93e-05
95,9690.61,0.75535,0.37416,1.04943,0.94783,0.94783,0.97768,0.7948,0.7141,0.35936,0.97053,6.94e-05,6.94e-05,6.94e-05
96,9793.46,0.75258,0.36966,1.043,0.94727,0.95673,0.97746,0.79395,0.71594,0.36031,0.97026,5.95e-05,5.95e-05,5.95e-05
97,9900.61,0.75373,0.36701,1.04188,0.94713,0.95217,0.97684,0.79256,0.71659,0.35974,0.97269,4.96e-05,4.96e-05,4.96e-05
98,10006.6,0.7412,0.36721,1.03845,0.94919,0.95437,0.97786,0.79527,0.71049,0.35855,0.97144,3.97e-05,3.97e-05,3.97e-05
